"No","Font Pairing Name","Category","Heading Font","Body Font","Mood/Style Keywords","Best For","System Font Stack","Notes"
"1","Classic Elegant","Serif + Sans","Georgia","Arial","elegant, luxury, sophisticated, timeless, premium, editorial","Luxury brands, fashion, spa, beauty, editorial, magazines, high-end e-commerce","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"2","Modern Professional","Sans + Sans","Segoe UI","Arial","modern, professional, clean, corporate, friendly, approachable","SaaS, corporate sites, business apps, startups, professional services","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"3","Tech Startup","Sans + Sans","Segoe UI","Arial","tech, startup, modern, innovative, bold, futuristic","Tech companies, startups, SaaS, developer tools, AI products","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"4","Editorial Classic","Serif + Serif","Georgia","Times New Roman","editorial, classic, literary, traditional, refined, bookish","Publishing, blogs, news sites, literary magazines, book covers","Georgia, ""Times New Roman"", serif","System serif pairing for traditional editorial rhythm and long-form reading."
"5","Minimal Swiss","Sans + Sans","Segoe UI","Arial","minimal, clean, swiss, functional, neutral, professional","Dashboards, admin panels, documentation, enterprise apps, design systems","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"6","Playful Creative","Display + Sans","Segoe UI","Arial","playful, friendly, fun, creative, warm, approachable","Children's apps, educational, gaming, creative tools, entertainment","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"7","Bold Statement","Display + Sans","Segoe UI","Arial","bold, impactful, strong, dramatic, modern, headlines","Marketing sites, portfolios, agencies, event pages, sports","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"8","Wellness Calm","Serif + Sans","Georgia","Arial","calm, wellness, health, relaxing, natural, organic","Health apps, wellness, spa, meditation, yoga, organic brands","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"9","Developer Mono","Mono + Sans","Consolas","Courier New","code, developer, technical, precise, functional, hacker","Developer tools, documentation, code editors, tech blogs, CLI apps","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"10","Retro Vintage","Display + Serif","Georgia","Times New Roman","retro, vintage, nostalgic, dramatic, decorative, bold","Vintage brands, breweries, restaurants, creative portfolios, posters","Georgia, ""Times New Roman"", serif","System serif pairing for traditional editorial rhythm and long-form reading."
